"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Testing!15!0x4258c9ff","Intervention: Social Distancing!15!0x6079f7ff","Healthcare: Hospital Beds!5!0x9a42c8ff","Healthcare: Age Distribution!5!0xb460e0ff","Healthcare: Co-morbidities!5!0xc885ecff","Healthcare: Health Disparities!5!0xdeb9f1ff"
"0.7853575999937842","6","6","Arkansas, St. Francis","-90.7483,35.022","1.0","0.5716716223141213","0.509142944524598","0.9908","0.7613214157303024","1.0","0.37538479186532797","0.5166605513962695","0.9524805700326807","0.8637610833989349"
"0.7824712406573482","6","10","Texas, Donley","-100.814,34.9652","1.0","0.7737165347831089","0.48170434760483566","0.5186","1.0","1.0","0.0","0.6758588134982833","0.8384229833173058","0.8133847167723788"
"0.7789413139386024","6","6","Alabama, Greene","-87.9568,32.855","0.823529411764706","0.6083202511019555","0.47483267480086483","0.9554","0.8486134210467587","1.0","0.45518589551171373","0.626321192473144","0.9390297730462283","0.8564348163989737"
"0.7783787922078941","6","6","Virginia, Petersburg City","-77.3937,37.2053","1.0","0.46853523820957893","0.7585121005887018","0.8898","0.9722890161552371","0.75","0.2868919924728384","0.5449798764246452","0.9603164339482312","0.9062905770403162"
"0.7738399022411699","6","6","Texas, Pecos","-102.7241,30.781","1.0","0.34277698351096225","0.44762217299577256","0.9691","1.0","1.0","0.44604990848265696","0.44674408486908573","0.801865181912799","0.9203635730344241"
"0.7709062989771109","6","6","Georgia, Turner","-83.6207,31.7161","0.947368421052632","0.7279759459233333","0.5412850671727503","0.9666","0.9067142302187603","0.75","0.0","0.579673914473061","0.9275554932984205","0.8989506458410612"
"0.7705476070155268","6","6","Virginia, Mecklenburg","-78.3613,36.6788","0.927272727272727","0.6056804343972199","0.5415633065277308","0.7265","0.9722890161552371","0.825","0.4200357990221128","0.7021046890169179","0.9315334266180884","0.8304250791224023"
"0.7663152656817642","6","6","Alabama, Sumter","-88.1992,32.5912","1.0","0.599072498012091","0.44490150693438224","0.9866","0.8486134210467587","0.75","0.4467923892758004","0.5561726637917245","0.9657372814368939","0.9015422080855537"
"0.7635418198463284","4","6","Georgia, Mitchell","-84.1938,31.2248","0.889705882352941","0.7499709228315918","0.5268764659985251","0.9592","0.9067142302187603","0.575","0.5602788063448255","0.5287228277828","0.9122930201565382","0.9332157044354739"
"0.7624122126357755","6","6","Kansas, Seward","-100.8507,37.1932","1.0","0.36487562000903906","0.49669258835714986","0.8771","0.984639459759314","1.0","0.37541844792260465","0.3530812563017395","0.7945967940846438","0.9290173383871658"
"0.7620584279867623","6","6","Virginia, Greensville","-77.5635,36.6788","0.875","0.48208805477310473","0.5363848283544073","0.9567","0.9722890161552371","1.0","0.0","0.5067215141840639","0.9039277521075568","0.8562184239497841"
"0.7610200037937883","6","6","Georgia, Dooly","-83.7975,32.1563","1.0","0.6739864043035965","0.5232783811967191","0.8727","0.9067142302187603","0.75","0.0","0.5878652729484978","0.920995358531851","0.9274807784349103"
"0.7600837202089171","6","6","Georgia, McDuffie","-82.4825,33.4785","0.954545454545455","0.5407406307518824","0.5614188949636156","0.8854","0.9067142302187603","0.75","0.46837809321920515","0.5517358041566147","0.9432349304823284","0.8886868398446703"
"0.7591263521819868","6","6","Georgia, Hancock","-82.9977,33.2722","1.0","0.4193577647120664","0.46773524306986247","0.921","0.9067142302187603","1.0","0.0","0.6476236650502001","0.9399633995308069","0.8392535081265247"
"0.756637005793698","6","6","North Carolina, Wayne","-78.0003,35.3644","0.956521739130435","0.467848970376241","0.6046589947962611","0.9427","0.8352316807017582","0.825","0.44852837553341424","0.526341402378779","0.9094391815604104","0.8999059961835322"
"0.7561499683901621","6","6","Georgia, Macon","-84.0423,32.3521","0.952380952380952","0.5948179128916072","0.42647695604398733","0.9201","0.9067142302187603","0.75","0.40233847151532526","0.5357771420024626","0.9470554162874665","0.9329351394360533"
"0.7558979363983503","6","6","North Carolina, Anson","-80.0995,34.974","1.0","0.43298012272637443","0.550797515463639","0.9682","0.8352316807017582","0.75","0.6271053949784581","0.5627304600978258","0.9388152294726795","0.8966772022063686"
"0.7535964085271758","6","6","Texas, Liberty","-94.8121,30.1515","0.894736842105263","0.34623505466533516","0.5566324309383172","0.9933","1.0","0.75","0.6992680512680876","0.4555137084840577","0.9214713118024999","0.9228945468004421"
"0.7535116073636334","6","6","Texas, Washington","-96.4095,30.215","0.837837837837838","0.5286477317730928","0.5512007986198245","0.8892","1.0","0.75","0.49857259159406986","0.6335581539925471","0.8665929723340898","0.8412501232795206"
"0.7530024705196943","6","6","Alabama, Tallapoosa","-85.7983,32.867","0.918367346938776","0.6408622172030284","0.5365739958548955","0.8685","0.8486134210467587","0.75","0.42367880495752996","0.626321192473144","0.9226971095316504","0.8036753561560777"
"0.7528984997588186","6","6","Virginia, Hopewell City","-77.2975,37.2919","0.928571428571429","0.47656820225240826","0.7304967166315459","0.6523","0.9722890161552371","0.825","0.33365227512449014","0.526341402378779","0.9419802977458593","0.8831166457269259"
"0.7516897601108795","6","6","Kentucky, Adair","-85.2813,37.1046","1.0","0.4759636929574235","0.5302505005339895","0.9303","0.8671957431089239","0.825","0.39343289617999294","0.5712984652022484","0.9365186478221857","0.7069658837461403"
