"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!25!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!10!0x4258c9ff","Intervention: Testing!10!0x6079f7ff","Health & Environment: Pop Demographics!10!0x6b0b9eff","Health & Environment: Air Pollution!10!0x8e26c4ff","Health & Environment: Age Distribution!10!0x9a42c8ff","Health & Environment: Co-morbidities!10!0xb460e0ff","Health & Environment: Health Disparities!10!0xc885ecff","Health & Environment: Hospital Beds!5!0xdeb9f1ff"
"0.6502085924462329","6","10","Pennsylvania, Philadelphia","-75.1379,40.0034","0.6275882744273183","0.21883772060507017","0.8421449071556667","0.8949","1.0","1.0","0.689941601455808","0.49101796407185627","0.46408171358848016","0.3704321335660465","0.5084751417803416","0.3764487951777609"
"0.637673050911128","8","10","Oklahoma, Muskogee","-95.378,35.6132","0.6700619176672084","0.1963418689723978","0.5432766023059175","0.9529","1.0","0.56154646000338","0.8557885949620264","0.43113772455089816","0.540406913436432","0.5460418242973885","0.5874750048270903","0.35802856670349964"
"0.62631604495641","6","10","Kansas, Wyandotte","-94.7638,39.1173","0.6478768808424933","0.1543289423444064","0.7132492112934719","0.6686","1.0","0.9365571545502659","0.6747129674931698","0.4251497005988024","0.41912465076501093","0.47493283449097784","0.6573922294146436","0.3247502801406921"
"0.626059205778074","6","10","Texas, Potter","-101.894,35.4013","0.7417273075469554","0.17621297296637467","0.6549458485849775","0.985","1.0","0.7671666176987042","0.5983391704097168","0.2694610778443114","0.42544161229202965","0.4086973220646494","0.6157733769383491","0.31698058208522395"
"0.6257184354270265","6","9","Oklahoma, Cherokee","-94.9998,35.9069","0.661501689350285","0.24327039055900454","0.5282109781128398","0.9761","0.825","0.56154646000338","0.7159105431778136","0.4191616766467066","0.5357771420024626","0.5575544031222016","0.6876532367762722","0.4783531686818802"
"0.625074922111801","8","8","Oklahoma, Okfuskee","-96.3264,35.4649","0.7338797694494678","0.2137879398721415","0.42699131862009554","0.9137","0.5","0.56154646000338","0.8292342977019945","0.38323353293413176","0.5648909983668218","0.691890445677054","0.7602672479491039","0.4801776631703816"
"0.6249251637757806","6","9","Mississippi, Neshoba","-89.1173,32.7534","0.5857655507993796","0.09687981935563694","0.5404065469824364","0.8316","0.825","0.7788831912429779","0.9079795552428814","0.44311377245508987","0.5215324091055006","0.6072142978867505","0.6129408416156725","0.4600802919793608"
"0.6239679099954567","6","9","Mississippi, Leake","-89.524,32.7537","0.6090370419901866","0.1390553824023018","0.45100231942438607","0.922","0.75","0.7788831912429779","0.881903907530112","0.4251497005988024","0.5117241638959221","0.5367340782201216","0.6735182639868478","0.5531259077348442"
"0.6237495923658353","6","10","Alabama, Talladega","-86.1689,33.3782","0.6013099208518549","0.17623766077374284","0.5783318833445583","0.7985","1.0","0.855672219494182","0.5973574269857527","0.5089820359281437","0.560557323866868","0.5608920953394482","0.5413419949138188","0.40768258436731897"
"0.6235903396879376","6","8","Mississippi, Attala","-89.5784,33.0866","0.694657369260401","0.21691762333734493","0.4839444678079876","0.9239","0.75","0.7788831912429779","0.6072472494138926","0.4131736526946108","0.5938927650957907","0.5294560432397817","0.6059603211379092","0.5266386412931904"
"0.6231892875780962","6","9","North Carolina, Scotland","-79.4758,34.8386","0.5813886858107628","0.12815040599374267","0.5942342207762943","0.9965","0.75","0.5918035196804734","0.9335712223392009","0.43113772455089816","0.5561726637917245","0.5829923183214187","0.6210779365180125","0.42965914244880454"
"0.6170766155538343","6","10","Alabama, Tallapoosa","-85.7983,32.867","0.5827151050744972","0.1601952660821532","0.5365739958548955","0.8685","1.0","0.855672219494182","0.5832139959147069","0.502994011976048","0.626321192473144","0.462348771541813","0.5291087089620546","0.42367880495752996"
"0.6167236810697294","6","10","Texas, Wichita","-98.7041,33.9884","0.6880228050155642","0.24963838973731153","0.6531197891126818","0.8883","1.0","0.7671666176987042","0.6048098769101452","0.34730538922155696","0.49129758316188105","0.4194193426647399","0.47736242250909194","0.4307775693705013"
"0.6164921761986807","6","10","Alabama, Calhoun","-85.8263,33.7748","0.6422551633460373","0.17975197709643562","0.6179997020686236","0.6492","1.0","0.855672219494182","0.5817020624544216","0.5269461077844312","0.5539608364828539","0.5430519957701405","0.4969126497226064","0.3703854635858774"
"0.616308034373968","6","9","Georgia, Peach","-83.8294,32.5693","0.5319563846337271","0.1352227605551705","0.6156751374318926","0.9513","1.0","0.7216307792077421","0.645637724810429","0.5089820359281437","0.5142005305328247","0.4759379585348932","0.5852160591117697","0.5755357245100039"
"0.616093223525954","8","8","Arkansas, Drew","-91.7178,33.5904","0.766876543706736","0.4649902327209494","0.5201311369224079","0.9456","0.75","0.5451302515522048","0.6107955499075847","0.407185628742515","0.5517358041566147","0.5678351651935195","0.43138250633604514","0.44336555127243277"
"0.6157922931993272","6","10","Georgia, Tift","-83.5236,31.4574","0.6375879072345283","0.15851084827596634","0.6254560607824974","0.9561","1.0","0.7216307792077421","0.6018530988277457","0.4730538922155689","0.4939129750014257","0.4103747827702627","0.5693623651742217","0.344869037575639"
