"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!15!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!15!0x4258c9ff","Intervention: Testing!5!0x6079f7ff","Healthcare: Age Distribution!10!0x9a42c8ff","Healthcare: Co-morbidities!10!0xb460e0ff","Healthcare: Health Disparities!10!0xc885ecff","Healthcare: Hospital Beds!5!0xdeb9f1ff"
"0.7409461611348015","3","10","Texas, Walker","-95.5744,30.7387","0.76342919153554","0.876346219951329","0.5955482555154494","0.9895","1.0","0.8835775890179449","0.43472072581226856","0.4982547919353885","0.6834372714814764","0.4994413764824666"
"0.705545268630239","8","10","Georgia, Colquitt","-83.7678,31.1881","0.486238532110092","0.7398674599366859","0.5758263324986739","0.9491","1.0","0.7207967635648729","0.504194780386106","0.6409488235246864","0.868943574554564","0.46902781573331914"
"0.7053964143294958","8","10","Virginia, Petersburg City","-77.3937,37.2053","0.471698113207547","0.6386184579920616","0.7585121005887018","0.8898","1.0","0.8013406147211778","0.5449798764246452","0.7279090511209542","0.7493123187993811","0.2868919924728384"
"0.698530743758235","8","10","Virginia, Galax City","-80.917,36.666","0.392857142857143","0.783717232007834","0.7034837461964067","0.9188","1.0","0.8013406147211778","0.6661358670949733","0.5428553928775343","0.7434883275114161","0.1836022098079947"
"0.6859135485504398","4","10","Georgia, Franklin","-83.2316,34.3753","0.734848484848485","0.7034499064873385","0.5546757710066691","0.688","1.0","0.7207967635648729","0.6075890184122873","0.5285991426792742","0.6434870233656048","0.45502844860299335"
"0.6757106095167165","4","10","Indiana, Marshall","-86.2619,41.3247","0.711229946524064","0.660229837860784","0.5859647099771288","0.6886","1.0","0.7889778816177523","0.558371441896005","0.5900745569887249","0.5101052974147142","0.5100794520651916"
"0.6716148478901115","3","10","Florida, DeSoto","-81.8094,27.1868","0.604081632653061","0.6960875709780348","0.5745408500659585","0.9643","0.7297297297297297","0.6574388314577118","0.6424111072462477","0.4712043318334235","0.8086414917655125","0.5316546101540222"
"0.6705559640933807","4","10","Arkansas, Washington","-94.218,35.9768","0.741504854368932","0.6478790814317459","0.6455934933684224","0.8825","1.0","0.6930206199685328","0.39950476257029566","0.4090925170118043","0.5684542300651297","0.4351752832840804"
"0.6682850456791716","3","10","Texas, Titus","-94.968,33.2134","0.574614065180103","0.80286371429875","0.578991225824858","0.596","1.0","0.8835775890179449","0.47793802351369025","0.4159934118192891","0.8012115258872516","0.36700047757223697"
"0.6680830655721011","8","5","North Carolina, Vance","-78.4067,36.3688","0.387464387464387","0.6669064721654854","0.6149459266384973","0.9172","1.0","0.7434395081115337","0.5670390838965326","0.5465462294619065","0.7111430394797327","0.4625808699932369"
"0.6645970167427132","4","10","Virginia, Henry","-79.8763,36.6854","0.619354838709677","0.6123695853200893","0.5854269665777277","0.7956","1.0","0.8013406147211778","0.6726459331898672","0.5791496905011402","0.6367741672070064","0.0"
"0.6623586817275874","3","2","Florida, Hendry","-81.1647,26.5539","0.520153550863724","0.7528915887610598","0.5469611612246843","0.9892","0.7297297297297297","0.6574388314577118","0.46408171358848016","0.44266039911778526","0.9229870360234907","0.6273857773521043"
"0.662159881943898","8","10","Mississippi, Neshoba","-89.1173,32.7534","0.354533152909337","0.789296736508697","0.5404065469824364","0.8316","1.0","0.5598332246390773","0.5215324091055006","0.7069003849568803","0.6659283894387374","0.5030525019230301"
