"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!15!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!15!0x4258c9ff","Intervention: Testing!5!0x6079f7ff","Healthcare: Age Distribution!10!0x9a42c8ff","Healthcare: Co-morbidities!10!0xb460e0ff","Healthcare: Health Disparities!10!0xc885ecff","Healthcare: Hospital Beds!5!0xdeb9f1ff"
"0.6690900828724793","8","1","Indiana, Elkhart","-85.8588,41.5976","0.46503178928247","0.7251136118901232","0.6710227164832427","0.7966","1.0","0.7775936404585402","0.48601108590571473","0.5469631574675722","0.6070272831565646","0.4856807767087958"
"0.6684509793645906","8","1","Texas, Angelina","-94.609,31.2546","0.407960199004975","0.619853204426167","0.6030565529156242","0.9452","1.0","0.8825456225205842","0.526341402378779","0.5260916951053803","0.7824564600692288","0.370586939353336"
"0.6683477334320067","8","1","Texas, El Paso","-106.2363,31.7698","0.433242506811989","0.656723010599056","0.726099686531283","0.859","1.0","0.8825456225205842","0.4159255598121659","0.332072217987825","0.8463573886295703","0.4661985682974573"
"0.6683307348551655","2","7","Louisiana, Acadia","-92.4142,30.2951","0.603491271820449","0.7733877538340921","0.567008931600574","0.759","1.0","0.3531197380291849","0.4965101409658336","0.5460729878420741","0.6496173610618031","0.6160915772796896"
"0.6681104122170677","2","7","North Carolina, Surry","-80.691,36.4169","0.668449197860963","0.6861382033707567","0.5653078085253123","0.7014","1.0","0.7695134014242013","0.613308186513927","0.48435810705968063","0.573810007435336","0.423477436062303"
"0.6678859551442182","8","9","Alabama, Barbour","-85.3871,31.8683","0.439393939393939","0.7179455704424914","0.5432794017173901","0.9889","0.825","0.6950307714840999","0.579673914473061","0.6785394874421413","0.7485796104729557","0.4302174822509245"
"0.6669270431023193","8","1","Georgia, Whitfield","-84.9609,34.8099","0.456521739130435","0.6637489978317529","0.6720670300730048","0.8577","1.0","0.6940822896853922","0.47245716285929296","0.4800319460745857","0.7696124138315489","0.44169631192920283"
"0.6668368724378911","4","4","California, Del Norte","-123.8974,41.7423","0.909090909090909","0.6656307066476456","0.5196948102126547","0.9968","0.675","0.6463614675008043","0.5517358041566147","0.4125090644038702","0.6494111696423495","0.4948883718735035"
"0.6666454735812772","8","9","Florida, Hardee","-81.8096,27.4929","0.556818181818182","0.6898797764500003","0.556453359420366","0.9949","0.825","0.6494008645265179","0.5215324091055006","0.49391051042793005","0.7681796434431256","0.5753004752428231"
"0.6666057833234316","8","9","Florida, Hendry","-81.1647,26.5539","0.502824858757062","0.7837747446107068","0.5469611612246843","0.9892","0.75","0.6494008645265179","0.46408171358848016","0.44266039911778526","0.9229870360234907","0.6273857773521043"
"0.6661806711377736","1","4","West Virginia, Randolph","-79.8792,38.7699","0.959349593495935","0.7788807868786991","0.5186914458835865","0.8545","0.75","0.5823115976268727","0.6335581539925471","0.5040905200665629","0.32219408127487836","0.42421217796150795"
"0.6655111670456312","8","1","Mississippi, Jones","-89.169,31.6226","0.492932862190813","0.7783870269518428","0.6054995271570012","0.766","1.0","0.5384875682489052","0.5380992168517501","0.6157900127703542","0.6270820623949385","0.37835727382192114"
"0.6650399294926732","8","1","Alabama, Russell","-85.1842,32.2873","0.427672955974843","0.6439919052272143","0.6080550132713158","0.7768","1.0","0.6950307714840999","0.46968620728685795","0.7376558897608811","0.6936902442307104","0.541023371377693"
"0.6639356677932104","8","1","North Carolina, Burke","-81.7076,35.7499","0.5","0.6978639103846439","0.6082745098269694","0.7924","1.0","0.7695134014242013","0.6037268925796017","0.4788286750813022","0.6290452706515964","0.4106543527665872"
"0.6631544466140993","8","1","Alabama, Pike","-85.9408,31.804","0.424581005586592","0.7155323767122831","0.5521566555085942","0.9233","1.0","0.6950307714840999","0.5016507991249867","0.5691321967569375","0.698232848330314","0.43292525217920147"
"0.66219576940964","8","1","Wisconsin, Milwaukee","-87.9673,43.0049","0.368958573072497","0.7340466623132935","0.8040903408418779","0.8529","1.0","0.6882799068749899","0.4555137084840577","0.4843421640178472","0.5976855077095048","0.3778575310312623"
"0.6621298409811179","1","4","Florida, Taylor","-83.6045,30.0485","0.8125","0.5713187795882577","0.5111489435538036","0.9815","0.75","0.6494008645265179","0.6017807168377609","0.5641664383157056","0.6106757376116589","0.46630668210164167"
"0.6620632181645734","1","4","Florida, Washington","-85.66,30.6136","0.764705882352941","0.6750073814149389","0.519558198395035","0.8548","0.75","0.6494008645265179","0.5670390838965326","0.6031632510297028","0.6400052950024707","0.45816028874794007"
"0.6615061999589761","4","4","Louisiana, East Carroll","-91.2343,32.7393","0.788135593220339","0.9056810053308785","0.4887878399099248","0.9946","0.5","0.3531197380291849","0.47793802351369025","0.7215551570412249","0.6272195517540037","0.509577881067024"
"0.6612364560425974","2","7","Oklahoma, Carter","-97.2855,34.251","0.815789473684211","0.5786670354835537","0.5367535621770686","0.7335","1.0","0.6321943227087136","0.5380992168517501","0.5302765841336023","0.5678698363603863","0.38188622150245255"
"0.6601682298536187","2","7","Georgia, Monroe","-83.921,33.0143","0.621848739495798","0.733397985053011","0.594921376171473","0.6762","1.0","0.6940822896853922","0.5691748594129424","0.4845122293371898","0.47140038069124335","0.576539526050625"
"0.660165067436084","8","1","Mississippi, Washington","-90.942,33.2839","0.44578313253012","0.6800393496907291","0.58920235398011","0.7883","1.0","0.5384875682489052","0.5067215141840639","0.6879174148971875","0.7764397450113653","0.3213120585568308"
"0.6601371045269889","4","4","Oklahoma, Choctaw","-95.5477,34.0281","0.9","0.6923919988644813","0.47674890748220555","0.8243","0.575","0.6321943227087136","0.6170727822364962","0.5860425690635903","0.7212988405802784","0.4609708740842531"
"0.6600141430060328","8","1","North Carolina, Wayne","-78.0003,35.3644","0.269557021677663","0.7174537665355325","0.6046589947962611","0.9427","1.0","0.7695134014242013","0.526341402378779","0.5698235521196512","0.7247650555749379","0.44852837553341424"
"0.6595756356266247","8","1","Virginia, Richmond City","-77.4797,37.5326","0.46072374227714","0.7156252316319717","0.8112598956826671","0.879","0.825","0.8125980612418828","0.4407808887294848","0.4638291084561985","0.6832127538300333","0.32659381173709223"
"0.659542945218034","8","1","North Carolina, Halifax","-77.6556,36.2567","0.359281437125749","0.6448639154141894","0.5487756681610488","0.8918","1.0","0.7695134014242013","0.6095051758860066","0.6927846104002158","0.6754451590917246","0.3425984405136909"
"0.6591337275435439","8","1","North Carolina, Lenoir","-77.6425,35.2403","0.295","0.6320646707664096","0.5960858195732576","0.9672","1.0","0.7695134014242013","0.6017807168377609","0.5685215732411624","0.7561144194458539","0.37474371446521143"
"0.6590170512894395","8","1","Virginia, Hopewell City","-77.2975,37.2919","0.407407407407407","0.6673508601193507","0.7304967166315459","0.6523","1.0","0.8125980612418828","0.526341402378779","0.5820625995449178","0.7074759178394958","0.33365227512449014"
"0.6568850415325796","8","1","Georgia, Decatur","-84.5762,30.8797","0.364640883977901","0.7247995242372918","0.5566868257670159","0.9806","1.0","0.6940822896853922","0.5287228277828","0.5166972711673399","0.6691207338130146","0.4287252565584269"
"0.6567220842477207","2","4","Missouri, Audrain","-91.8424,39.2159","0.971830985915493","0.734191670178662","0.5286195026665661","0.4737","0.75","0.9237100690253165","0.560557323866868","0.5527918727307457","0.4922048306754188","0.4117412535963103"
"0.6565361975800789","4","4","Alabama, Bullock","-85.7127,32.1003","0.846994535519126","0.9214475565007376","0.40306664756422667","0.765","0.5","0.6950307714840999","0.526341402378779","0.7269945741749483","0.6771412305527781","0.34328494231235507"
"0.655988640013571","8","1","Texas, Caldwell","-97.6181,29.8367","0.421052631578947","0.5626556618898156","0.555417448095714","0.9631","1.0","0.8825456225205842","0.46968620728685795","0.47907088938790804","0.7379031739073325","0.6323066919203503"
"0.6554065292058524","8","1","Arkansas, Washington","-94.218,35.9768","0.642045454545455","0.6212473835876029","0.6455934933684224","0.8825","1.0","0.7380063454457703","0.39950476257029566","0.4090925170118043","0.5684542300651297","0.4351752832840804"
