"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!25!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!10!0x4258c9ff","Intervention: Testing!10!0x6079f7ff","Health & Environment: Pop Demographics!10!0x6b0b9eff","Health & Environment: Air Pollution!10!0x8e26c4ff","Health & Environment: Age Distribution!10!0x9a42c8ff","Health & Environment: Co-morbidities!10!0xb460e0ff","Health & Environment: Health Disparities!10!0xc885ecff","Health & Environment: Hospital Beds!5!0xdeb9f1ff"
"0.7274762632759427","9","1","Oklahoma, Okfuskee","-96.3264,35.4649","0.901921529811863","0.631775700934579","0.42699131862009554","0.9137","0.75","0.9282442623406058","0.8292342977019945","0.38323353293413176","0.5648909983668218","0.691890445677054","0.7944879287264447","0.4801776631703816"
"0.6858439562103062","9","4","Mississippi, Neshoba","-89.1173,32.7534","0.7183831329817236","0.0935640886965928","0.5404065469824364","0.8316","1.0","1.0","0.9079795552428814","0.44311377245508987","0.5215324091055006","0.6072142978867505","0.6484228481638843","0.4600802919793608"
"0.6834916516656885","9","4","Mississippi, Leake","-89.524,32.7537","0.7128094888942114","0.112173913043478","0.45100231942438607","0.922","1.0","1.0","0.881903907530112","0.4251497005988024","0.5117241638959221","0.5367340782201216","0.7004578435270726","0.5531259077348442"
"0.6810166825973973","9","4","North Carolina, Robeson","-79.1025,34.6424","0.7137422213198656","0.128894214310168","0.5853089601519642","0.9698","1.0","0.7223223593475336","1.0","0.4251497005988024","0.49129758316188105","0.5810636510878822","0.6826268589182356","0.41267351749283776"
"0.679523880278654","9","4","North Carolina, Scotland","-79.4758,34.8386","0.7006238088561048","0.111668757841907","0.5942342207762943","0.9965","1.0","0.7223223593475336","0.9335712223392009","0.43113772455089816","0.5561726637917245","0.5829923183214187","0.6548945220704852","0.42965914244880454"
"0.6706944811362899","9","4","Mississippi, Leflore","-90.299,33.5555","0.7164515321468765","0.101137043686415","0.5736604802412227","0.9376","1.0","1.0","0.6841439811849159","0.43113772455089816","0.46968620728685795","0.5890703733331614","0.6960509042842639","0.32126798222380676"
"0.6666355500994193","9","4","Mississippi, Yazoo","-90.3966,32.7789","0.6825320829417412","0.101472995090016","0.5170101176610407","0.9405","1.0","1.0","0.6688548696948388","0.4131736526946108","0.45839165180163993","0.6120445373720291","0.6760224451482187","0.5797607939420073"
"0.6653703222396041","9","4","Oklahoma, Seminole","-96.6169,35.1648","0.7183902697725114","0.194407456724368","0.492871906192129","0.7841","1.0","0.9282442623406058","0.7712982766673198","0.38323353293413176","0.5670390838965326","0.5438866971377391","0.687208685353355","0.5321343613595505"
"0.6637946556043192","9","4","Oklahoma, Ottawa","-94.8101,36.8353","0.7269173348726904","0.165557404326123","0.5499215543058749","0.9166","1.0","0.9282442623406058","0.6333439423503682","0.4131736526946108","0.579673914473061","0.5346833758940509","0.64095998535017","0.40152093660092114"
"0.6605861094814647","9","4","Oklahoma, Okmulgee","-95.9643,35.6466","0.7270603617890891","0.207275803722504","0.5237206883722006","0.7434","1.0","0.9282442623406058","0.8186492738902342","0.40119760479041916","0.5755097168756041","0.489591686481906","0.6366987450632823","0.43805116874016276"
