"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!15!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!15!0x4258c9ff","Intervention: Testing!5!0x6079f7ff","Healthcare: Age Distribution!10!0x9a42c8ff","Healthcare: Co-morbidities!10!0xb460e0ff","Healthcare: Health Disparities!10!0xc885ecff","Healthcare: Hospital Beds!5!0xdeb9f1ff"
"0.7179150341775337","6","10","Tennessee, Rhea","-84.9308,35.6054","0.966507177033493","0.8103949842270688","0.5763011707607321","0.5005","1.0","0.4771750075337881","0.5775976316230177","0.6690301964471835","0.5819910078720117","0.5991080764236459"
"0.7159572963013106","10","10","Virginia, Petersburg City","-77.3937,37.2053","0.508474576271186","0.6768430148729045","0.7585121005887018","0.8898","1.0","0.8086769582676564","0.5449798764246452","0.7279090511209542","0.7493123187993811","0.2868919924728384"
"0.7122138671485786","6","10","Virginia, Martinsville City","-79.8635,36.6821","0.903225806451613","0.6920011294540319","0.6963575378099248","0.5597","1.0","0.8086769582676564","0.6037268925796017","0.5694794854292896","0.6531813443731692","0.21309925309024086"
"0.7111668462606862","6","10","Texas, Titus","-94.968,33.2134","0.812641083521445","0.8764932121858837","0.578991225824858","0.596","1.0","0.8920076531258373","0.47793802351369025","0.4159934118192891","0.8012115258872516","0.36700047757223697"
"0.7088751691519959","6","10","Texas, Camp","-94.9779,32.972","0.783783783783784","0.774100843770223","0.5638528280482988","0.6291","1.0","0.8920076531258373","0.579673914473061","0.471630775515636","0.7464492499328962","0.4843258215679669"
"0.7077834839370125","10","10","Georgia, Colquitt","-83.7678,31.1881","0.468546637744035","0.7812560812904915","0.5758263324986739","0.9491","1.0","0.6989473193506445","0.504194780386106","0.6409488235246864","0.868943574554564","0.46902781573331914"
"0.7076351278825893","10","10","Texas, Walker","-95.5744,30.7387","0.569620253164557","0.8230642264367914","0.5955482555154494","0.9895","1.0","0.8920076531258373","0.43472072581226856","0.4982547919353885","0.6834372714814764","0.4994413764824666"
"0.7062643220816206","10","10","Arkansas, St. Francis","-90.7483,35.022","0.498493975903614","0.8967556449725647","0.509142944524598","0.9908","1.0","0.7163898432456123","0.5166605513962695","0.7096658631098235","0.6493049627350989","0.37538479186532797"
"0.7018565367254203","10","5","Virginia, Galax City","-80.917,36.666","0.383177570093458","0.8153405053487177","0.7034837461964067","0.9188","1.0","0.8086769582676564","0.6661358670949733","0.5428553928775343","0.7434883275114161","0.1836022098079947"
"0.6939184504385381","10","10","Florida, DeSoto","-81.8094,27.1868","0.64327485380117","0.7264822569934255","0.5745408500659585","0.9643","0.825","0.6535435552217865","0.6424111072462477","0.4712043318334235","0.8086414917655125","0.5316546101540222"
"0.6908086325482591","6","10","Iowa, Buena Vista","-95.151,42.7355","0.884882108183079","1.0","0.6138054111437913","0.7052","0.75","0.6417614670012579","0.4965101409658336","0.34053564542801873","0.6153027276167025","0.49486886305872185"
"0.6827309747777818","10","5","Texas, Potter","-101.894,35.4013","0.354810238305384","0.821211968056369","0.6549458485849775","0.985","1.0","0.8920076531258373","0.42544161229202965","0.4586184757846079","0.7861039769031515","0.32484149718559024"
"0.6818292025666933","10","10","Virginia, Winchester City","-78.1733,39.1705","0.551136363636364","0.7450282349484434","0.7928063845128686","0.836","1.0","0.8086769582676564","0.526341402378779","0.3936653317092328","0.5894526823935285","0.23373371594348977"
"0.6811426023869063","10","10","Arizona, Yuma","-113.9067,32.769","0.668803418803419","0.7271370661652191","0.5401861281391742","0.9796","0.75","0.9084225140318267","0.579673914473061","0.39899673232321287","0.8027018321202931","0.4963899413235429"
"0.6790208487714956","10","10","Virginia, Henry","-79.8763,36.6854","0.696969696969697","0.6380840474223144","0.5854269665777277","0.7956","1.0","0.8086769582676564","0.6726459331898672","0.5791496905011402","0.6367741672070064","0.0"
