"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Testing!15!0x4258c9ff","Intervention: Social Distancing!15!0x6079f7ff","Healthcare: Hospital Beds!5!0x9a42c8ff","Healthcare: Age Distribution!5!0xb460e0ff","Healthcare: Co-morbidities!5!0xc885ecff","Healthcare: Health Disparities!5!0xdeb9f1ff"
"0.8162167064709119","1","1","Arizona, Navajo","-110.3219,35.3998","1.0","0.5295892011134319","0.4932312946089095","0.9618","0.9641797570348887","1.0","0.560782367730236","0.5561726637917245","0.8986307676085472","0.917378866624953"
"0.7847445209049526","1","1","Arizona, Apache","-109.4892,35.3947","1.0","0.3788005146895371","0.4161137831327712","0.9118","0.9641797570348887","1.0","0.6223652393120364","0.5016507991249867","0.9183955558851954","0.9677104423380134"
"0.7790085938208583","1","1","Arizona, La Paz","-113.981,33.7285","1.0","0.3416723623738137","0.4811791503330162","0.7514","0.9641797570348887","1.0","0.5437545975738012","0.8571725399341503","0.8802024773081033","0.9163276027089681"
"0.7543805388226354","1","1","Arizona, Pinal","-111.3449,32.9053","0.857142857142857","0.29569605258039194","0.5588799306950782","0.8271","0.9641797570348887","1.0","0.6369162560228638","0.6056629582719985","0.8689899797967994","0.8530257206964784"
"0.7445146586468259","1","1","Arizona, Cochise","-109.7516,31.8793","1.0","0.10314434527497959","0.49495544240266837","0.936","0.9641797570348887","1.0","0.5187263558740302","0.6371246099900815","0.8236531654034537","0.8469058499340126"
"0.7412716521031775","1","1","South Carolina, Clarendon","-80.2165,33.6661","1.0","0.40126075004112116","0.49253173013435386","0.9615","0.6066317863989359","1.0","0.4448771151184942","0.6527643232093532","0.9156219274480533","0.8804286066987688"
"0.741010385293626","1","1","Oklahoma, Kay","-97.1442,36.818","1.0","0.47017931261200796","0.51058136117347","0.6953","0.7494268279629801","1.0","0.3827321277751985","0.5938927650957907","0.9179611459722065","0.8550405229574222"
"0.7355383766281227","1","1","South Carolina, Lee","-80.2569,34.1639","1.0","0.3692931804870522","0.4593003399173551","0.9771","0.6066317863989359","1.0","0.5456665212210694","0.5670390838965326","0.9496907242024678","0.8477956227497102"
"0.7332463831253885","1","1","Georgia, Crisp","-83.7681,31.9229","1.0","0.42471988600943456","0.5792013921834247","0.9475","0.49595561558559564","1.0","0.4200385008884034","0.5712984652022484","0.9450851453595849","0.9130762619055958"
"0.7331278155104829","1","1","Mississippi, Wilkinson","-91.3102,31.1608","1.0","0.642510732227336","0.4360839783131851","0.8201","0.4733112671878658","1.0","0.43576033744568704","0.5472454870957077","0.9374731820211666","0.8822433487751197"
"0.7329536920630478","1","1","Arizona, Graham","-109.8882,32.9317","1.0","0.2631515097462001","0.41938395289277947","0.9854","0.9641797570348887","0.825","0.5335584715991856","0.46408171358848016","0.8252160968898924","0.8696558530545717"
